Id,Category
710,1
487,0
136,1
44,1
627,0
845,0
172,0
664,1
546,1
713,1
380,1
60,1
841,0
988,0
685,1
142,0
903,0
774,0
628,0
762,1
942,1
776,0
637,0
737,0
626,0
271,0
30,0
892,0
893,1
865,0
446,1
541,0
960,0
109,1
8,0
69,1
121,1
754,1
694,0
209,0
56,0
838,0
961,0
73,0
240,0
315,1
409,1
786,0
419,0
782,0
98,0
656,1
663,1
744,0
35,0
600,0
699,0
597,1
979,0
436,1
332,0
563,1
372,0
472,0
197,0
840,0
536,0
919,0
908,0
910,0
269,1
319,0
375,0
125,0
959,0
982,0
548,1
130,1
739,0
851,0
787,0
410,0
750,0
280,0
515,0
80,1
925,0
301,1
111,1
201,0
824,1
882,0
470,0
655,1
346,0
387,0
530,0
157,0
77,1
75,0
798,0
117,1
554,1
104,1
212,0
884,0
780,1
753,0
695,1
535,0
684,0
939,0
373,0
181,0
0,1
843,1
74,1
661,1
533,0
494,0
769,0
358,0
567,0
855,0
360,0
558,0
679,1
980,0
496,0
950,0
834,0
95,1
441,0
208,0
162,0
190,0
423,0
542,1
955,0
474,0
842,1
833,0
931,0
61,0
397,0
770,0
703,1
632,1
993,0
640,0
150,0
943,0
878,0
549,0
413,0
831,0
297,0
891,0
53,1
788,0
870,0
802,0
205,0
504,0
370,1
678,1
924,0
451,0
738,1
168,0
671,1
145,1
432,0
844,0
216,0
238,0
719,0
222,0
657,1
601,1
107,0
339,0
665,1
617,1
920,0
320,0
76,0
544,1
350,0
873,1
502,0
215,0
642,0
248,0
336,0
418,1
414,0
311,0
543,0
3,0
195,0
608,0
22,1
244,0
934,0
976,0
276,0
523,0
108,1
886,0
614,1
997,0
885,0
231,0
144,1
313,0
299,0
732,1
55,0
174,0
5,1
529,0
46,1
733,0
388,0
270,0
839,0
767,0
103,0
570,1
89,1
783,0
334,0
836,1
335,0
37,1
736,0
131,1
465,0
752,0
266,0
749,0
852,0
575,0
702,1
500,0
818,0
584,0
355,0
